"pid","title","short_name","description","link","screenshot_url","status","type","terms","changed"
"106","Ubercart","ubercart","<p>: I pledge that Ubercart will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>is an e-commerce suite developed for Drupal.  It has been designed with the end user in mind, focusing on usability in three key areas: store configuration, product and catalog creation, and order administration.  On the front end, all major systems are configurable and integrate with the standard Drupal systems (node, taxonomy, user, etc.).  On the back end, the settings pages and order administration pages have been designed with ease of use in mind, and we are constantly working to lower the barrier to entry for new Ubercart users.</p><p>Ubercart out of the box is a great solution for stores that sell physical goods, digital product downloads, and site memberships.  All these features can be previewed on the demo site, . Feel free to check it out and post your thoughts in the forums. Read more about testing .</p><p>The community at  is active and growing.  Check it out to find , a  holding modules, snippets, Views tutorials, and more submitted by your friendly fellow Ubercart users, and a  showcasing live Ubercart sites.</p>","http://drupal.org/project/ubercart","http://drupal.org/files/images/logo.png","1","Modules","Modules","1272530862"
"107","Translation template extractor","potx","<p>The Translation template extractor provides a web based and a command line Gettext translation template extractor interface for Drupal as well as a reusable API to look for translatable strings and translatability errors. This tool is used under the hood at  as well to serve as a parsing machine for Drupal.org project releases.</p><p>Translation templates are used by teams to . There are basically three ways to use the contents of this project:</p>","http://drupal.org/project/potx","","1","Modules","Modules","1272530862"
"108","Demonstration site (Sandbox / Snapshot)","demo","<p>This module allows you to take snapshots of your site. It turns a Drupal installation into a sandbox that you can use either for testing modules or setting up a public demonstration site for a module / extension / theme (you name it). Whenever you need to reset your site to a saved state a click of your mouse will do so. With cron enabled, a Drupal site can be automatically reset to a chosen snapshot in a definable interval.</p>","http://drupal.org/project/demo","http://drupal.org/files/images/demo_1.thumbnail.png","1","Modules","Modules","1272530863"
"109","External Links","extlink","<p>External Links is a small module used to differentiate between internal and external links. Using jQuery, it will find all external links on a page and add an external icon  indicating it will take you offsite or a mail icon  for mailto: links.</p><p>Configuration options:</p><p>This module :</p><p>: I pledge that External Links will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/extlink","","1","Modules","Modules","1272530863"
"110","Schema","schema","<p>Introduced in Drupal 6, the Schema API allows modules to declare their database tables in a structured array (similar to the Form API) and provides API functions for creating, dropping, and changing tables, columns, keys, and indexes.</p><p>The Schema module provides additional Schema-related functionality not provided by the core Schema API that is useful for module developers.  Currently, this includes:</p><p>:  The Schema module requires MySQL 5.  Prior versions of MySQL do not support the INFORMATION_SCHEMA database that the Schema module uses to inspect the database.</p>","http://drupal.org/project/schema","","1","Modules","Modules","1272530863"
"111",".mobi","mobi","<p>This theme creates a way sites who have mobile domain aliases of their website to have a specially formatted mobile format for their visitors who use the mobile domain, and allow the visitors of your .com/.net/.org/etc to still see a fancy or complex theme.</p><p>This theme is intended to be used with the  module, though it will also work fine without it as long as your intention is for all your users to see the mobi format. When paired with the .mobi loader module, the module overrides the default theme to display a mobile, portable format from the mobi theme.</p><p>Web-based settings are built into the theme configuration page to change background colors for:</p>","http://drupal.org/project/mobi","http://drupal.org/files/images/opera_mini_m.deekayen.net-3.thumbnail.png","1","Themes","Themes","1272530863"
"112",".mobi loader","mobi_loader","<p>This module is intended to be used with the .mobi theme. It looks for visitors requesting a .mobi alias of the site and overrides the default theme to display the .mobi theme.</p>","http://drupal.org/project/mobi_loader","","1","Modules","Modules","1272530863"
"113","APC - Alternative PHP Cache","apc","<p>The  is a free and open opcode cache for PHP. Its goal is to provide a free, open, and robust framework for caching and optimizing PHP intermediate code. Besides being a opcode cache it provides a user cache for storing application data. This module uses the APC user cache to store Drupal's cached data.</p><p>You should use APC for caches that will not change often and will not  grow too big. The default setting of APC will only allow you to store 32 MiB for the opcode cache and the user cache. The README file which can be found in the package will help you install the APC cache for the 'cache' and 'cache_bootstrap' bins.</p><p>This module is only available for Drupal 7 because it has a new cache implementation allowing different backends for the different bins. For example you could cache 'cache' and 'cache_bootstrap' in APC; 'cache_field' and 'cache_menu' in Memcached and store 'cache_filter' in the database.</p><p>What is the difference of this module compared to other caching modules:</p>","http://drupal.org/project/apc","","1","Modules","Modules","1272530863"
"114","jQuery Update","jquery_update","<p>This module facilitates an upgrade of jQuery in Drupal core and allows other contrib modules to rely on a newer jQuery version.</p>","http://drupal.org/project/jquery_update","","1","Modules","Modules","1272530863"
"115","Localization client","l10n_client","<p>The primary goal of this module is to provide easy ways to localize your site interface. To achieve this, it provides three noticeable features:</p><p>Future plans include the other way of the connection to a central translation server so translations might be possible to download and import.</p>","http://drupal.org/project/l10n_client","http://drupal.org/files/images/l10nclient-2.thumbnail.png","1","Modules","Modules","1272530863"
"116","Synonyms","synonyms","<p>Synonyms is a small module that makes it possible to search for taxonomy term synonyms via the built-in search module.</p><p>Also, it makes it possible to find a node through the parents of any term that the node is tagged with, as well as the parents' synonyms.</p><p>Here's the thread that started it all:</p><p>Committed the rewritten Drupal 7 version by tanoshimi.</p>","http://drupal.org/project/synonyms","","1","Modules","Modules","1272530863"
"117","HTML Mail","htmlmail","<p>I pledge that the  module will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>HTML Mail empowers Drupal with the ability to send emails in HTML, providing formatting and semantic markup capabilities in e-mail that are not available with plain text.</p><p>This module is very simple in operation. It changes headers in  modifying e-mail sent from Drupal to be HTML with the option of header, footer and CSS.</p><p>Developed by</p>","http://drupal.org/project/htmlmail","http://drupal.org/files/images/htmlmail_0.thumbnail.jpg","1","Modules","Modules","1272530863"
"118","Typogrify","typogrify","<p>Typogrify.module brings the typographic refinements of  to Drupal.</p>","http://drupal.org/project/typogrify","","1","Modules","Modules","1272530863"
"119","Simple Paypal Framework","simple_paypal","<p>This is a simple Paypal framework. It has code to verify the IPN payment, allows for test mode, and permits different IPN URLs for the same Paypal accounts.</p><p>Used by the  and  modules.</p><p>Developed by .</p>","http://drupal.org/project/simple_paypal","","1","Modules","Modules","1272530863"
"120","CVS deploy","cvs_deploy","<p>Helps sites that are deployed directly from a CVS workspace, as opposed to sites built via packages downloaded from drupal.org.</p>","http://drupal.org/project/cvs_deploy","","1","Modules","Modules","1272530863"
"121","PHPIDS","phpids","<p></p><p>: The goal is to deprecate this module on the day that Drupal 7 is released. Please review the new PHPIDS module branch there to help us achieve this goal.</p><p>PHPIDS module adds a security layer based on  and is interesting if you want to know how and when (anonymous) users try to break your site by logging their attacks. It can send a mail and/or redirect the (anonymous) user to a warning page after a certain level of impact has been reached. On the settings page you can choose what you want to do with anonymous and authenticated users (ignore, log, log & action).</p><p>Installation instructions are in the README.txt included in all releases. Please check phpids settings and status report after installing or upgrading phpids module</p>","http://drupal.org/project/phpids","","1","Modules","Modules","1272530863"
"122","Views Bulk Operations (VBO)","views_bulk_operations","<p>This module augments Views by allowing bulk operations to be executed on the nodes displayed by a view. It does so by showing a checkbox in front of each node, and adding a select box containing operations that can be applied on the selected nodes.</p>","http://drupal.org/project/views_bulk_operations","http://drupal.org/files/images/views_bulk_operations.thumbnail.png","1","Modules","Modules","1272530863"
"123","footermap: a footer site map","footermap","<p>This module generates a site map in Drupal's footer.  It recursively searches through the base menu id (mid), and outputs a basic list of links ordered by sub-menus.</p>","http://drupal.org/project/footermap","http://drupal.org/files/images/Picture 4_8.thumbnail.png","1","Modules","Modules","1272530863"
"124","Reroute Email","reroute_email","<p>This module intercepts all outgoing emails from a Drupal site and reroutes them to a predefined configurable email address.</p><p>This is useful in case where you do not want email sent from a Drupal site to reach the users. For example, if you copy a live site to a test site for the purpose of development, and you do not want any email sent to real users of the original site. Or you want to check the emails sent for uniform formatting, footers, ...etc.</p><p>This is also a good demonstration of what , available in Drupal 5.x and later, can do.</p>","http://drupal.org/project/reroute_email","","1","Modules","Modules","1272530863"
"125","Compact Forms","compact_forms","<p>Compact Forms presents text fields for selected forms in a more compact fashion using jQuery.</p><p>The form item/element fields are overlaid with their respective labels.  When the user focuses a field the label fades away nicely, and if the field is left empty the label fades back in again.</p><p>By default, only the user login block is switched to compact style, but the behavior can be added to any form by adding the corresponding CSS ids to the Compact Forms configuration.</p><p>Current maintainers:</p><p>Previous maintainers:</p><p>This project has been sponsored by:</p>","http://drupal.org/project/compact_forms","http://drupal.org/files/images/compact_forms_en.thumbnail.jpg","1","Modules","Modules","1272530863"
"126","GeoNames","geonames","<p>A collection of modules to integrate  webservices and data into a Drupal installation. The modules in this package enable access to all information provided by the XML-based Services from GeoNames. For code examples, documentation, simple demo's and other information please check out the project home page.</p><p>This project is maintained by  and .</p><p>: I pledge that Flag will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/geonames","","1","Modules","Modules","1272530863"
"127","Role Delegation","role_delegation","<p>This module allows site administrators to grant some roles the authority to assign selected roles to users, without them needing the  permission.</p>","http://drupal.org/project/role_delegation","http://drupal.org/files/images/role_delegation_permissions.thumbnail.png","1","Modules","Modules","1272530863"
"128","Dynamic Rendering","render","<p>This module provides an easy, user-friendly administrative interface for quickly implementing rendering rules for various technologies depending on Cascading Style Sheets (CSS) and/or Javascript (JS) on any Drupal site without requiring any adjustments to the site's theme.</p><p>Short list of available plugins:</p>","http://drupal.org/project/render","","1","Modules","Modules","1272530863"
"129","getID3()","getid3","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>The getID3() Drupal module facilitates the installation and management of the , used to extract useful information from MP3s and other multimedia file formats.</p>","http://drupal.org/project/getid3","","1","Modules","Modules","1272530863"
"130","Gotcha - Contact Spam Catcher","gotcha","<p>Gotcha is sort of a take off on ""captcha.""  The idea was first mentioned on  as a possible way to trick spam bots who try to use the Drupal contact form. I don't particulary like the extra step humans are required to perform in these ""verification"" methods, and some just don't work.</p><p>The idea is simple: Basically you place a bogus input field on a contact form, and use CSS to not display it. On submission you check for a value. If there is a value entered, then that means a non-human has been blanketing form fields, and the form post can be ignored as spam. The spam bot will probably never know.</p><p>Gotcha adds a field labeled ""Subject"" at the top of the contact form. It uses a ""div"" tag to render the field as ""display: none"" so human users shouldn't see it, and won't enter any data there. Hopefully, the suspected spam bot will see ""Subject"" and be enticed to enter something there. There is descriptive text to encourage a human (whose browser might be set to display it anyway) to ignore this field.</p><p>Gotcha intercepts the contact form submission and checks the hidden field.  If something is there, Gotcha simply returns to the front page and ignores the message.  The attempt is logged, along with the submitter's IP address, and the suspect message is saved in the database.  If the field is empty, then the message is passed on through to the contact module for normal processing.</p><p>Unfortunately, most of the spam was still getting through. And most of that was a bunch of links to drugs or porn. From exerience, I knew that the  module was already good at dealing with this in comments. After browsing that module, I found that I could ""hook"" into its filters and use them to identify spam.</p><p></p>","http://drupal.org/project/gotcha","","1","Modules","Modules","1272530863"
"131","Omniture Integration","omniture","<p>This module integrates the  statistics monitoring software into a Drupal site.</p><p>This module is still growing and gaining a final form.  Currently the 6.x 1.0 release can be extended using an ""inc"" file; however, the development version is much more flexible and can be extended using a hook_omniture_variables. Be sure to check the readme.txt file for specific implementation instructions.</p><p>initial development sponsored by  and</p><p>by , and .</p>","http://drupal.org/project/omniture","","1","Modules","Modules","1272530863"
"132","SimpleTest automator","simpletest_automator","<p>This module automates the process of creating SimpleTests by recording manual testing to a SimpleTest. Features include:</p><p>This module was originally written by .</p>","http://drupal.org/project/simpletest_automator","","1","Modules","Modules","1272530863"
"133","Text Resize","text_resize","<p>The Text Resize module provides your end-users with a block that can be used to quickly change the font size of text on your Drupal site.  The block includes two buttons that can increase and decrease the printed text on the page.  This module is primarily focused on increasing the accessibility of your pages, by helping visually-impaired users to adjust the text size so that it is most comfortable for their eyesight.</p><p>This module uses jQuery and the jQuery Cookie plugin to create a Drupal block that can be themed. Default resize images are included in the block out-of-the-box.</p><p>Please be sure that you enable the ""Text Resize"" block for your theme in order to make the block appear.</p><p>The module currently works out-of-the-box for both the Garland and Zen Starterkit themes. In order to get it working for other themes, please follow the directions on the Text Resize administration page.</p><p>This module was sponsored by and developed by Mark W. Jarrell, a.k.a. , at the</p>","http://drupal.org/project/text_resize","http://drupal.org/files/images/text-resize-block.png","1","Modules","Modules","1272530863"
"134","Administration Menu Dropdown","admin_menu_dropdown","<p>Designed as a companion to the awesome  module, Administration Menu Dropdown changes the way the Drupal Administration Menu is displayed. Once enabled the Administration Menu will be hidden. This default state can be toggled by going to the module's settings page. After pressing a key combination in your browser (Ctrl+Alt by default) the menu is dropped down from the top of browser's viewing area. Pressing the combination again will hide the menu.</p><p>The CSS of the menu (using the position:fixed; property) is also altered so that it shows up anywhere on the page, not just at the top. This way it can be easily accessed at any time an administrator needs it. Unfortunately, because some browsers do not handle position:fixed; well (e.g. IE 6), this means that your browser might not work with this module. Version 2 adds the ability to choose which position mode you prefer to expand browser compatability.</p>","http://drupal.org/project/admin_menu_dropdown","","1","Modules","Modules","1272530863"
"135","Wysiwyg","wysiwyg","<p>Allows to use client-side editors to edit content.  It simplifies the installation and integration of the editor of your choice.  This module replaces all other editor integration modules.  No other Drupal module is required.</p><p>Wysiwyg module is capable to support any kind of client-side editor.  It can be a HTML-editor (a.k.a. WYSIWYG), a  (buttons to insert markup into a textarea), or even Flash-based applications.  The editor library needs to be downloaded separately.  Various editors are supported (see below).</p><p>Wysiwyg module also provides an abstraction layer for other Drupal modules to integrate with any editor.  This means that other Drupal modules can expose content-editing functionality, regardless of which editor you have installed.</p><p>Discussions happen in the , but also in IRC .</p>","http://drupal.org/project/wysiwyg","http://drupal.org/files/images/screenshot_2.thumbnail.gif","1","Modules","Modules","1272530863"
"136","Resource Description Framework (RDF)","rdf","<p>is a  for modeling and sharing distributed knowledge based on a decentralized open-world assumption. Any knowledge about anything can be decomposed into triples (3-tuples) consisting of subject, predicate, and object; essentially, RDF is the lowest common denominator for exchanging data between systems.</p><p>This module provides comprehensive RDF functionality and interoperability for the Drupal 6.x platform. For more information, read  or watch the . Be sure to subscribe to the  group on groups.drupal.org to keep up with the latest happenings.</p>","http://drupal.org/project/rdf","http://drupal.org/files/images/rdf_w3c_icon.128.gif","1","Modules","Modules","1272530863"
"137","Email Registration","email_registration","<p>I pledge that the  module will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Allow users to register using only an email address, ie. without username. The user, once registered then may log-in using their email address and password for authentication.</p>","http://drupal.org/project/email_registration","","1","Modules","Modules","1272530863"
"138","Vocabulary Index","vocabindex","<p>Vocabulary Index provides an easy way to create a taxonomy browser / directory index. You can choose for which vocabularies to create pages or blocks where the terms within that vocabulary are listed. With just a few clicks you're done. Listing is possible in different kind of views depending on your needs:</p>","http://drupal.org/project/vocabindex","http://drupal.org/files/images/thumb_tree.gif","1","Modules","Modules","1272530863"
"139","Taxonomy CSV import/export","taxonomy_csv","<p>This module allows you to import or export taxonomy from or to a  (comma-separated values) file or with a copy-and-paste text.</p><p>When you want to import a vocabulary, a taxonomy or a simple list of terms in your Drupal site, you have two main choices: taxonomy_xml and taxonomy_csv.</p><p>is perfect for standardized taxonomies and vocabularies. Despite its name, it can import csv files too, but only if they are ISO 2788 formated.</p><p>So when you want to quick import a non-standardized vocabulary, for example an old thesaurus or a simple list of children, synonyms, descriptions, weights or related terms to terms, it's simpler to use taxonomy csv as a module or as an API.</p>","http://drupal.org/project/taxonomy_csv","http://drupal.org/files/images/Taxonomy_csv-6.x-4.8_Beta.thumbnail.png","1","Modules","Modules","1272530863"
"140","Relevant Content","relevant_content","<p>: I pledge that Relevant Content will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module provides two ways of referencing . Both of these methods provide configuration to filter for specific content types and vocabularies, limit the maximum size of the result and provide some header text. The result on both cases  are a list of nodes which the module considers  based on the categorization of the current page. This is achieved by finding other nodes which are of one of the allowed types and have the most number of terms in common. The two methods are:</p>","http://drupal.org/project/relevant_content","","1","Modules","Modules","1272530863"
"141","Backup and Migrate","backup_migrate","<p>: I pledge that Backup and Migrate will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Backup and Migrate simplifies the task of backing up and restoring your Drupal database or copying your database from one Drupal site to another. It supports gzip, bzip and zip compression as well as automatic scheduled backups.</p><p>With Backup and Migrate you can dump some or all of your database tables to a file download or save to a file on the server, and to restore from an uploaded or previously saved database dump. You can chose which tables and what data to backup and cache data is excluded by default.</p>","http://drupal.org/project/backup_migrate","","1","Modules","Modules","1272530863"
"142","Rules","rules","<p>: I pledge that rules will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>The rules modules allows site administrators to define conditionally executed actions based on occurring events (known as reactive or ECA rules). It's a replacement with more features for the trigger module in core and the successor of the  module.</p><p>• Send customized mails to notify your users about important changes
• Build flexible content publishing workflows
• Create custom redirections, system messages, breadcrumbs, ..
• And a lot more....</p>","http://drupal.org/project/rules","http://drupal.org/files/images/rules_icon.png","1","Modules","Modules","1272530863"
"143","XML sitemap","xmlsitemap","<p>The XML sitemap module creates a sitemap that conforms to the . This helps search engines to more intelligently crawl a website and keep their results up to date. The sitemap created by the module can be automatically submitted to Ask, Google, Bing (formerly Windows Live Search), and Yahoo! search engines. The module also comes with several submodules that can add sitemap links for content, menu items, taxonomy terms, and user profiles.</p><p>Please read the , the , and the  for more information before using the module.</p>","http://drupal.org/project/xmlsitemap","","1","Modules","Modules","1272530863"
"144","jQuery plugins","jquery_plugin","<p>The jquery_plugin module allows you to load miscellaneous  plugins from any module or theme by calling the jquery_plugin_add($plugin) function.  For example, jquery_plugin_add('validate') would load the Validation plugin. It also supports , a jQuery plugin registry.</p>","http://drupal.org/project/jquery_plugin","","1","Modules","Modules","1272530863"
"145","CCK Blocks","cck_blocks","<p>I pledge that CCK Blocks will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Adds a block for every CCK field you created, allowing to show the field value of the currently shown node in the block (placed left, right or in whatever region) instead of (or next to) the node's main content area. Kind of a simple panel variation. Your client can add node-related block-content right from the node's editing page.</p><p>CCK blocks depends on the  module.</p><p>Since version 5.x-1.2 and 6.x-1.1 the module does not hide the field in the node's content area anymore. You can do that for yourself in the CCK display settings. This allows you to show the field both in the node's content area and in the CCK block.</p><p>Since many users have experienced tremendous problems when block caching is activated , we decided to disable block caching for cck blocks. However, if you need block caching for some reason, please use the  module to activate block caching for individual cck blocks.</p>","http://drupal.org/project/cck_blocks","","1","Modules","Modules","1272530863"
"146","Clickpath","clickpath","<p>Clickpath maintains a list of the last 10 pages visited by each user, and displays those ten pages in a sidebar block. It can also optionally override Drupal's breadcrumb trail to implement wiki-style ""how you got here"" breadcrumbs.</p><p>Original code by .</p>","http://drupal.org/project/clickpath","","1","Modules","Modules","1272530863"
"147","Text Size","textsize","<p>: I pledge that Text Size will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module display a adjustable text size changer or a zoom function on the page for a better web accessibility.</p><p>The zoom function is comparable to the text zoom function in Firefox 3, but this module resize also variable media objects, variable pixel images and vector images. No JavaScript required (WCAG/BITV 6.3).</p><p>WCAG and BITV conform. Keep the conditions 1.1, 3.1, 6.3, 11.1 and 13.6. More Information:  or .</p>","http://drupal.org/project/textsize","http://drupal.org/files/images/textsize_0.thumbnail.png","1","Modules","Modules","1272530863"
"148","String Overrides","stringoverrides","<p>: I pledge that  will have a full Drupal 7 release on the day Drupal 7 is released.</p><p>Provides a quick and easy way to replace any text on the site.</p>","http://drupal.org/project/stringoverrides","http://drupal.org/files/images/stringoverrides_0.png","1","Modules","Modules","1272530863"
"149","Video Filter","video_filter","<p>This is a highly flexible and easy extendable filter module to embed any type of video in your site using a simple tag. Other modules can add video sites/formats (called codecs) using an easy plug-in architecture.</p><p></p>","http://drupal.org/project/video_filter","","1","Modules","Modules","1272530863"
"150","Page Style","pagestyle","<p>: I pledge that Page Style will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module display a style changer on the page and in the browser menue for a better web accessibility. No JavaScript required (WCAG/BITV 6.3).</p><p>WCAG and BITV conform. Keep the conditions 1.1, 3.1, 6.3, 11.1 and 13.6. More Information:  or .</p>","http://drupal.org/project/pagestyle","http://drupal.org/files/images/pagestyle.thumbnail.png","1","Modules","Modules","1272530863"
"151","Gravatar integration","gravatar","<p>: I pledge that Gravatar will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module integrates Drupal user pictures with the service provided by . If the user has a gravatar linked with his or her e-mail address, it will be used as their user picture for comments, posts, and profile.</p>","http://drupal.org/project/gravatar","http://drupal.org/files/images/drupal-6_gravatar.thumbnail.png","1","Modules","Modules","1272530863"
"152","SaveGuard","saveguard","<p>This module adds javascript which detects if a form had been modified, and if it has, uses the onBeforeUnload event to pop up a warning to the user if they attempt to navigate away from the page without saving their changes.  This works for Firefox, IE, and Safari, but not Opera.</p>","http://drupal.org/project/saveguard","","1","Modules","Modules","1272530863"
"153","Provision","provision","<p>Provision is a component of the  hosting system.</p><p>The provision component of this system provides the back end used for system level tasks such as creating configuration files and managing databases and backup files.</p><p>For more information on the system, and the other components, please take a look at the</p><p>Aegir development is sponsored by</p><p>Aegir 0.1 was developed by  /  and partners.</p>","http://drupal.org/project/provision","","1","Modules","Modules","1272530863"
"154","Zend Framework","zend","<p>The  is a powerful open source web application framework for developing PHP 5 web applications.  The Zend Framework module is a Drupal API module that facilitates the installation and management of the Zend Framework, making sure it is properly accessible to other Drupal modules.</p>","http://drupal.org/project/zend","http://drupal.org/files/images/zendframework.png","1","Modules","Modules","1272530863"
"155","Transliteration","transliteration","<p>Provides a central transliteration service to other Drupal modules, and
sanitizes file names while uploading.</p><p>Generally spoken, it takes Unicode text and tries to represent it in US-ASCII characters (universally displayable, unaccented characters) by attempting to transliterate the pronunciation expressed by the text in some other writing system to Roman letters.</p>","http://drupal.org/project/transliteration","http://drupal.org/files/images/translit_0.png","1","Modules","Modules","1272530863"
"156","ImageAPI","imageapi","<p>This API is meant to be used in place of the API provided by image.inc. You probably do not need to install this module unless another module are you using requires it. It provides no new features to your Drupal site. It only provides an API other modules can leverage. Currently GD2 and ImageMagick support are distributed with ImageAPI.</p><p></p>","http://drupal.org/project/imageapi","","1","Modules","Modules","1272530863"
"157","ImageCache Profiles","imagecache_profiles","<p>ImageCache_Profiles module allows you to set user profile pictures that are consistent throughout your site and allows avatars on the user profile pages to be a different size.</p><p>Drupal 6 version now supports Views 2 formatters to display user profiles through imagecache presets!</p><p>Requirements:</p><p>uses  from core image.module</p><p>for Drupal 7 still needs work, waiting for first beta version</p>","http://drupal.org/project/imagecache_profiles","","1","Modules","Modules","1272530863"
"158","Apache Solr Search Integration","apachesolr","<p>This module integrates Drupal with the . Solr search can be used as a replacement for core content search and boasts both extra features and better performance. Among the extra features is the ability to have  on facets ranging from content author to taxonomy to arbitrary CCK fields.</p><p>The module comes with schema.xml and solrconfig.xml files which  be used in your Solr installation in order to get the module to work correctly.</p><p>This module depends on the search framework in core. However, you may not want the core searches and only want Solr search. If that is the case, you want to use the  module in tandem with this module.</p><p>If you're looking for  integration, this is possibly the best option available. This is also one of the best ways to achieve . In addition, since you can shift the load of searches from PHP+SQL to a totally separate server, using Solr can help to scale Drupal for large, high-traffic sites.</p>","http://drupal.org/project/apachesolr","http://drupal.org/files/images/20081122-px2ttqu6s32ki9dffjmik2bgx1.preview.thumbnail.jpg","1","Modules","Modules","1272530863"
"159","MimeDetect","mimedetect","<p>MimeDetect provides an API for consistent server side mime detection using the PHP FileInfo extension, the UNIX 'file' command, user supplied mime data, or file extension lookups. It is distributed with its own magic library for use with the  to make mime detection more consistent in different environments.</p>","http://drupal.org/project/mimedetect","","1","Modules","Modules","1272530863"
"160","On This Day","onthisday","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Shows a block and a page of nodes created on this day for past years.  Administrators can set how many years back to display nodes.  Future versions will add a Views plugin.</p>","http://drupal.org/project/onthisday","","1","Modules","Modules","1272530863"
"161","Quick Tabs","quicktabs","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>The Quick Tabs module allows you to create blocks of tabbed content, specifically views, blocks, nodes* and other quicktabs*. You can create a block on your site containing multiple tabs with corresponding content. Clicking on the tabs makes the corresponding content display instantly, using jQuery. With the 6.x-2.x branch, this can be done in either ajax or non-ajax mode</p>","http://drupal.org/project/quicktabs","http://drupal.org/files/images/qt_screengrab.thumbnail.gif","1","Modules","Modules","1272530863"
"162","External links filter","elf","<p>ELF is an input filter that adds small icons to external and mailto links, telling your users the link will take them to a new site or open their email client. Wikipedia is a well-known  of this technique.</p><p>External links filter is being developed by . The author may be  for paid customisations of this module, Drupal consultation or other Drupal-related projects.</p>","http://drupal.org/project/elf","http://drupal.org/files/images/Picture 1_0.thumbnail.png","1","Modules","Modules","1272530863"
"163","Redirect 403 to User Login","r4032login","<p>Redirect the HTTP 403 error page to the Drupal /user/login page with an optional message that reads:</p><p>Also, the desired page is appended in the url query string so that, once login is successful, the user is taken directly where they were originally trying to go.</p>","http://drupal.org/project/r4032login","","1","Modules","Modules","1272530863"
"164","About This Node","about_this_node","<p>About This Node creates a block that displays information about the node you're viewing. It allows users to see, at a glance, the following information without clicking ""Edit"" or digging into revision history:</p><p>Rather, this is an  to allow admins and other privileged users quick access to important information about a node. Requests to add end-user-facing features will be denied (with a friendly apology, of course).</p><p>This module, when enabled, creates a block that displays the information about a node. You will need to display this block in one of your theme's regions (at ).</p>","http://drupal.org/project/about_this_node","","1","Modules","Modules","1272530863"
"165","SWFAddress","swfaddress","<p>The Drupal 5 module was created by Steven Merrill () and Brian McMurray ().</p><p>Thanks to community member  for an initial patch to start the ball rolling on a Drupal 6 version.  of Chime Interactive and chok have each also submitted some new features, which will be added to an upcoming -2.x release.</p><p>The SWFAddress module provides integration with the open-source SWFAddress library by , as well as SWFObject.</p><p>This allows you to build full Flash experience sites with support for deep-linking and browser history while still maintaining a full HTML version for screen readers, search engines, and other non-traditional browsers.  If you are building Flash sites on top of Drupal, you will probably also want to check out the  and  modules.  To learn a little more about how you would start to build such a site, take a look at  from the 2008 Boston DrupalCon.</p>","http://drupal.org/project/swfaddress","http://drupal.org/files/images/swfaddress-settings.thumbnail.png","1","Modules","Modules","1272530863"
"166","Menu Breadcrumb","menu_breadcrumb","<p>By default, Drupal 6 will use the Navigation menu for the breadcrumb. This module allows you to use the menu the current page belongs to for the breadcrumb.</p><p>As an added bonus, it also allows you to :</p>","http://drupal.org/project/menu_breadcrumb","http://drupal.org/files/images/menu_breadcrumb_screenshot_crop.thumbnail.png","1","Modules","Modules","1272530864"
"167","SPARQL","sparql","<p>is a query language for pattern matching against  graphs. The syntax resembles SQL, making for a friendly learning curve, but SPARQL is far more powerful, enabling queries spanning multiple disparate (local or remote) data sources containing heterogeneous semistructured data.</p><p>This is a module that enables the use of SPARQL queries with the  for Drupal 6.x. For more information, read  or watch the . Be sure to subscribe to the  group on groups.drupal.org to keep up with the latest happenings.</p>","http://drupal.org/project/sparql","http://drupal.org/files/images/rdf_w3c_icon.128_0.gif","1","Modules","Modules","1272530864"
"168","Unique field","unique_field","<p>This module performs additional validation when a node is created or updated by a user to require that a node's title, author, language, and CCK fields are unique within a given context.</p><p>Without this module, Drupal and CCK do not prevent multiple nodes from having the same title or the same value in a certain field.</p><p>For example, if you have a content type with a date field and there should only be one node per date, you could use this module to prevent a node from being saved with a date already used in another node.</p>","http://drupal.org/project/unique_field","http://drupal.org/files/images/unique_field-6.x.thumbnail.png","1","Modules","Modules","1272530864"
"169","MultiBlock","multiblock","<p>Drupal's block module is limited by the fact that a block can only have one instance. Each block has a 1:1 relationship with its region, weight, visibility (and other) settings. This means that it is impossible to have blocks in multiple regions or to have blocks that have different settings on different pages. MultiBlock module solves this problem by allowing you to create multiple Block Instances of already existing blocks. Please read the README for more information.</p><p>: I pledge that MultiBlock will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/multiblock","","1","Modules","Modules","1272530864"
